phrase,pose,source_sheet,pose_file
11,4,phrase_11.png,phrase_11_pose_04.jpg
11,5,phrase_11.png,phrase_11_pose_05.jpg
11,6,phrase_11.png,phrase_11_pose_06.jpg
11,7,phrase_11.png,phrase_11_pose_07.jpg
11,8,phrase_11.png,phrase_11_pose_08.jpg
11,9,phrase_11.png,phrase_11_pose_09.jpg
11,10,phrase_11.png,phrase_11_pose_10.jpg
12,1,phrase_12.png,phrase_12_pose_01.jpg
12,2,phrase_12.png,phrase_12_pose_02.jpg
12,3,phrase_12.png,phrase_12_pose_03.jpg
12,4,phrase_12.png,phrase_12_pose_04.jpg
12,5,phrase_12.png,phrase_12_pose_05.jpg
12,6,phrase_12.png,phrase_12_pose_06.jpg
12,7,phrase_12.png,phrase_12_pose_07.jpg
12,8,phrase_12.png,phrase_12_pose_08.jpg
12,9,phrase_12.png,phrase_12_pose_09.jpg
12,10,phrase_12.png,phrase_12_pose_10.jpg
13,1,phrase_13.png,phrase_13_pose_01.jpg
13,2,phrase_13.png,phrase_13_pose_02.jpg
13,3,phrase_13.png,phrase_13_pose_03.jpg
13,4,phrase_13.png,phrase_13_pose_04.jpg
13,5,phrase_13.png,phrase_13_pose_05.jpg
13,6,phrase_13.png,phrase_13_pose_06.jpg
13,7,phrase_13.png,phrase_13_pose_07.jpg
13,8,phrase_13.png,phrase_13_pose_08.jpg
13,9,phrase_13.png,phrase_13_pose_09.jpg
13,10,phrase_13.png,phrase_13_pose_10.jpg
14,1,phrase_14.png,phrase_14_pose_01.jpg
14,2,phrase_14.png,phrase_14_pose_02.jpg
14,3,phrase_14.png,phrase_14_pose_03.jpg
14,4,phrase_14.png,phrase_14_pose_04.jpg
14,5,phrase_14.png,phrase_14_pose_05.jpg
14,6,phrase_14.png,phrase_14_pose_06.jpg
14,7,phrase_14.png,phrase_14_pose_07.jpg
14,8,phrase_14.png,phrase_14_pose_08.jpg
14,9,phrase_14.png,phrase_14_pose_09.jpg
14,10,phrase_14.png,phrase_14_pose_10.jpg
15,1,phrase_15.png,phrase_15_pose_01.jpg
15,2,phrase_15.png,phrase_15_pose_02.jpg
15,3,phrase_15.png,phrase_15_pose_03.jpg
15,4,phrase_15.png,phrase_15_pose_04.jpg
15,5,phrase_15.png,phrase_15_pose_05.jpg
15,6,phrase_15.png,phrase_15_pose_06.jpg
15,7,phrase_15.png,phrase_15_pose_07.jpg
15,8,phrase_15.png,phrase_15_pose_08.jpg
15,9,phrase_15.png,phrase_15_pose_09.jpg
15,10,phrase_15.png,phrase_15_pose_10.jpg
16,1,phrase_16.png,phrase_16_pose_01.jpg
16,2,phrase_16.png,phrase_16_pose_02.jpg
16,3,phrase_16.png,phrase_16_pose_03.jpg
16,4,phrase_16.png,phrase_16_pose_04.jpg
16,5,phrase_16.png,phrase_16_pose_05.jpg
16,6,phrase_16.png,phrase_16_pose_06.jpg
16,7,phrase_16.png,phrase_16_pose_07.jpg
16,8,phrase_16.png,phrase_16_pose_08.jpg
16,9,phrase_16.png,phrase_16_pose_09.jpg
16,10,phrase_16.png,phrase_16_pose_10.jpg
17,1,phrase_17.png,phrase_17_pose_01.jpg
17,2,phrase_17.png,phrase_17_pose_02.jpg
17,3,phrase_17.png,phrase_17_pose_03.jpg
17,4,phrase_17.png,phrase_17_pose_04.jpg
17,5,phrase_17.png,phrase_17_pose_05.jpg
17,6,phrase_17.png,phrase_17_pose_06.jpg
17,7,phrase_17.png,phrase_17_pose_07.jpg
17,8,phrase_17.png,phrase_17_pose_08.jpg
17,9,phrase_17.png,phrase_17_pose_09.jpg
17,10,phrase_17.png,phrase_17_pose_10.jpg
18,1,phrase_18.png,phrase_18_pose_01.jpg
18,2,phrase_18.png,phrase_18_pose_02.jpg
18,3,phrase_18.png,phrase_18_pose_03.jpg
18,4,phrase_18.png,phrase_18_pose_04.jpg
18,5,phrase_18.png,phrase_18_pose_05.jpg
18,6,phrase_18.png,phrase_18_pose_06.jpg
18,7,phrase_18.png,phrase_18_pose_07.jpg
18,8,phrase_18.png,phrase_18_pose_08.jpg
18,9,phrase_18.png,phrase_18_pose_09.jpg
18,10,phrase_18.png,phrase_18_pose_10.jpg
19,1,phrase_19.png,phrase_19_pose_01.jpg
19,2,phrase_19.png,phrase_19_pose_02.jpg
19,3,phrase_19.png,phrase_19_pose_03.jpg
19,4,phrase_19.png,phrase_19_pose_04.jpg
19,5,phrase_19.png,phrase_19_pose_05.jpg
19,6,phrase_19.png,phrase_19_pose_06.jpg
19,7,phrase_19.png,phrase_19_pose_07.jpg
